match_id,group,team1,team2,played,score1,score2
1,A,Mexico,South Africa,False,,
2,A,Mexico,South Korea,False,,
3,A,Mexico,Czechia,False,,
4,A,South Africa,South Korea,False,,
5,A,South Africa,Czechia,False,,
6,A,South Korea,Czechia,False,,
7,B,Canada,Bosnia,False,,
8,B,Canada,Qatar,False,,
9,B,Canada,Switzerland,False,,
10,B,Bosnia,Qatar,False,,
11,B,Bosnia,Switzerland,False,,
12,B,Qatar,Switzerland,False,,
13,C,Brazil,Morocco,False,,
14,C,Brazil,Haiti,False,,
15,C,Brazil,Scotland,False,,
16,C,Morocco,Haiti,False,,
17,C,Morocco,Scotland,False,,
18,C,Haiti,Scotland,False,,
19,D,United States,Paraguay,False,,
20,D,United States,Australia,False,,
21,D,United States,Turkey,False,,
22,D,Paraguay,Australia,False,,
23,D,Paraguay,Turkey,False,,
24,D,Australia,Turkey,False,,
25,E,Germany,Curacao,False,,
26,E,Germany,Ivory Coast,False,,
27,E,Germany,Ecuador,False,,
28,E,Curacao,Ivory Coast,False,,
29,E,Curacao,Ecuador,False,,
30,E,Ivory Coast,Ecuador,False,,
31,F,Netherlands,Japan,False,,
32,F,Netherlands,Sweden,False,,
33,F,Netherlands,Tunisia,False,,
34,F,Japan,Sweden,False,,
35,F,Japan,Tunisia,False,,
36,F,Sweden,Tunisia,False,,
37,G,Belgium,Egypt,False,,
38,G,Belgium,Iran,False,,
39,G,Belgium,New Zealand,False,,
40,G,Egypt,Iran,False,,
41,G,Egypt,New Zealand,False,,
42,G,Iran,New Zealand,False,,
43,H,Spain,Cape Verde,False,,
44,H,Spain,Saudi Arabia,False,,
45,H,Spain,Uruguay,False,,
46,H,Cape Verde,Saudi Arabia,False,,
47,H,Cape Verde,Uruguay,False,,
48,H,Saudi Arabia,Uruguay,False,,
49,I,France,Senegal,False,,
50,I,France,Iraq,False,,
51,I,France,Norway,False,,
52,I,Senegal,Iraq,False,,
53,I,Senegal,Norway,False,,
54,I,Iraq,Norway,False,,
55,J,Argentina,Algeria,False,,
56,J,Argentina,Austria,False,,
57,J,Argentina,Jordan,False,,
58,J,Algeria,Austria,False,,
59,J,Algeria,Jordan,False,,
60,J,Austria,Jordan,False,,
61,K,Portugal,DR Congo,False,,
62,K,Portugal,Uzbekistan,False,,
63,K,Portugal,Colombia,False,,
64,K,DR Congo,Uzbekistan,False,,
65,K,DR Congo,Colombia,False,,
66,K,Uzbekistan,Colombia,False,,
67,L,England,Croatia,False,,
68,L,England,Ghana,False,,
69,L,England,Panama,False,,
70,L,Croatia,Ghana,False,,
71,L,Croatia,Panama,False,,
72,L,Ghana,Panama,False,,
